position,name,title,description,semantic_type,semantic_type_basis,source_kind,section,codebook_pages,special_values,blank_meaning,temporal_role,leakage_risk,leakage_reason,competition_use,staff_question,train_missing_fraction,test_missing_fraction,missing_fraction_difference,train_unique_count,train_top_values,test_top_values,train_min,train_max,exact_duplicate_of
10,CTELENUM,Correct telephone number?,Correct Telephone Number?,categorical,A small set of documented response categories,administrative,0.20,[7],"[{""code"": ""BLANK"", ""label"": ""Missing""}]",Missing,contemporaneous,none,,include,,0.4248708610785195,0.4213148776273325,0.003555983451187017,2,"[{""value"": ""1"", ""count"": 188720, ""fraction"": 0.5751291389214805}, {""value"": ""<MISSING>"", ""count"": 139415, ""fraction"": 0.4248708610785195}]","[{""value"": ""1.0"", ""count"": 63296, ""fraction"": 0.5786851223726676}, {""value"": ""<MISSING>"", ""count"": 46083, ""fraction"": 0.4213148776273325}]",1.0,1.0,
11,PVTRESD1,Private Residence?,"Is this a private residence? [READ ONLY IF NECESSARY: “By private residence, we mean someplace like a house or apartment.”]",binary,Two documented substantive responses,administrative,0.21,[7],"[{""code"": ""BLANK"", ""label"": ""Missing""}]",Missing,contemporaneous,none,,include,,0.4248708610785195,0.4213148776273325,0.003555983451187017,3,"[{""value"": ""1"", ""count"": 188688, ""fraction"": 0.5750316180840203}, {""value"": ""<MISSING>"", ""count"": 139415, ""fraction"": 0.4248708610785195}, {""value"": ""2"", ""count"": 32, ""fraction"": 9.752083746019169e-05}]","[{""value"": ""1.0"", ""count"": 63283, ""fraction"": 0.5785662695764269}, {""value"": ""<MISSING>"", ""count"": 46083, ""fraction"": 0.4213148776273325}, {""value"": ""2.0"", ""count"": 13, ""fraction"": 0.00011885279624059462}]",1.0,2.0,
12,COLGHOUS,Do you live in college housing?,Do you live in college housing?,categorical,A small set of documented response categories,administrative,0.22,[7],"[{""code"": ""BLANK"", ""label"": ""Missing""}]",Missing,contemporaneous,none,,include,,0.9999024791625398,0.9998811472037594,2.1331958780401727e-05,2,"[{""value"": ""<MISSING>"", ""count"": 328103, ""fraction"": 0.9999024791625398}, {""value"": ""1"", ""count"": 32, ""fraction"": 9.752083746019169e-05}]","[{""value"": ""<MISSING>"", ""count"": 109366, ""fraction"": 0.9998811472037594}, {""value"": ""1.0"", ""count"": 13, ""fraction"": 0.00011885279624059462}]",1.0,1.0,
13,STATERES,Resident of State,Do you reside in ____(state)____?,categorical,A small set of documented response categories,administrative,0.23,[8],"[{""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.42487390860469015,0.4213240201501202,0.0035498884545699383,2,"[{""value"": ""1"", ""count"": 188719, ""fraction"": 0.5751260913953099}, {""value"": ""<MISSING>"", ""count"": 139416, ""fraction"": 0.42487390860469015}]","[{""value"": ""1.0"", ""count"": 63295, ""fraction"": 0.5786759798498797}, {""value"": ""<MISSING>"", ""count"": 46084, ""fraction"": 0.4213240201501202}]",1.0,1.0,
14,CELLFON3,Cellular Telephone,"Is this a cellular telephone? (Telephone service over the internet counts as landline service (includes Vonage, Magic Jack and other home-based phone services).)[Read only if necessary: “By cellular (or cell) telephone we mean a telephone that is mobile and usable outside of your neighborhood.”]",binary,Two documented substantive responses,administrative,0.24,[8],"[{""code"": ""BLANK"", ""label"": ""Missing""}]",Missing,contemporaneous,none,,include,,0.4248708610785195,0.4213057351045447,0.003565125973974792,3,"[{""value"": ""<MISSING>"", ""count"": 139415, ""fraction"": 0.4248708610785195}, {""value"": ""2"", ""count"": 102783, ""fraction"": 0.31323388239596506}, {""value"": ""1"", ""count"": 85937, ""fraction"": 0.26189525652551543}]","[{""value"": ""<MISSING>"", ""count"": 46082, ""fraction"": 0.4213057351045447}, {""value"": ""2.0"", ""count"": 34575, ""fraction"": 0.316102725386043}, {""value"": ""1.0"", ""count"": 28722, ""fraction"": 0.2625915395094122}]",1.0,2.0,
15,LADULT,Are you 18 years of age or older?,Are you 18 years of age or older?,binary,Two documented substantive responses,administrative,0.25,[8],"[{""code"": ""BLANK"", ""label"": ""Missing""}]",Missing,contemporaneous,none,,include,,0.9999024791625398,0.9998811472037594,2.1331958780401727e-05,3,"[{""value"": ""<MISSING>"", ""count"": 328103, ""fraction"": 0.9999024791625398}, {""value"": ""2"", ""count"": 21, ""fraction"": 6.39980495832508e-05}, {""value"": ""1"", ""count"": 11, ""fraction"": 3.3522787876940896e-05}]","[{""value"": ""<MISSING>"", ""count"": 109366, ""fraction"": 0.9998811472037594}, {""value"": ""1.0"", ""count"": 7, ""fraction"": 6.399765951416633e-05}, {""value"": ""2.0"", ""count"": 6, ""fraction"": 5.485513672642829e-05}]",1.0,2.0,
16,NUMADULT,Number of Adults in Household,Number of Adults in Household,count,"The variable records a number, duration, or frequency",administrative,0.26,[9],"[{""code"": ""BLANK"", ""label"": ""Missing""}]",Missing,contemporaneous,none,,include,,0.4249257165495909,0.42137887528684664,0.003546841262744238,17,"[{""value"": ""<MISSING>"", ""count"": 139433, ""fraction"": 0.4249257165495909}, {""value"": ""2"", ""count"": 94528, ""fraction"": 0.28807655385740627}, {""value"": ""1"", ""count"": 71077, ""fraction"": 0.2166090176299389}, {""value"": ""3"", ""count"": 16272, ""fraction"": 0.04958934584850747}, {""value"": ""4"", ""count"": 5243, ""fraction"": 0.015978179712618282}, {""value"": ""5"", ""count"": 1172, ""fraction"": 0.0035717006719795208}, {""value"": ""6"", ""count"": 291, ""fraction"": 0.0008868301156536182}, {""value"": ""7"", ""count"": 68, ""fraction"": 0.00020723177960290734}, {""value"": ""8"", ""count"": 21, ""fraction"": 6.39980495832508e-05}, {""value"": ""10"", ""count"": 12, ""fraction"": 3.657031404757188e-05}]","[{""value"": ""<MISSING>"", ""count"": 46090, ""fraction"": 0.42137887528684664}, {""value"": ""2.0"", ""count"": 31795, ""fraction"": 0.2906865120361313}, {""value"": ""1.0"", ""count"": 23662, ""fraction"": 0.21633037420345771}, {""value"": ""3.0"", ""count"": 5606, ""fraction"": 0.0512529827480595}, {""value"": ""4.0"", ""count"": 1717, ""fraction"": 0.015697711626546228}, {""value"": ""5.0"", ""count"": 378, ""fraction"": 0.0034558736137649823}, {""value"": ""6.0"", ""count"": 101, ""fraction"": 0.0009233948015615429}, {""value"": ""7.0"", ""count"": 17, ""fraction"": 0.00015542288739154683}, {""value"": ""8.0"", ""count"": 6, ""fraction"": 5.485513672642829e-05}, {""value"": ""10.0"", ""count"": 3, ""fraction"": 2.7427568363214145e-05}]",1.0,20.0,
17,NUMMEN,Number of Adult men in Household,Number of Adult Men in Household,count,"The variable records a number, duration, or frequency",administrative,0.27,[9],"[{""code"": ""BLANK"", ""label"": ""Missing""}]",Missing,contemporaneous,none,,include,,0.4252030414311183,0.42161658087932785,0.00358646055179046,13,"[{""value"": ""<MISSING>"", ""count"": 139524, ""fraction"": 0.4252030414311183}, {""value"": ""1"", ""count"": 118285, ""fraction"": 0.3604766330930867}, {""value"": ""0"", ""count"": 55247, ""fraction"": 0.16836667834885033}, {""value"": ""2"", ""count"": 12800, ""fraction"": 0.03900833498407667}, {""value"": ""3"", ""count"": 1948, ""fraction"": 0.0059365809803891695}, {""value"": ""4"", ""count"": 267, ""fraction"": 0.0008136894875584744}, {""value"": ""5"", ""count"": 36, ""fraction"": 0.00010971094214271565}, {""value"": ""6"", ""count"": 13, ""fraction"": 3.961784021820287e-05}, {""value"": ""7"", ""count"": 7, ""fraction"": 2.133268319441693e-05}, {""value"": ""9"", ""count"": 3, ""fraction"": 9.14257851189297e-06}]","[{""value"": ""<MISSING>"", ""count"": 46116, ""fraction"": 0.42161658087932785}, {""value"": ""1.0"", ""count"": 39773, ""fraction"": 0.3636255588367054}, {""value"": ""0.0"", ""count"": 18387, ""fraction"": 0.16810356649813948}, {""value"": ""2.0"", ""count"": 4319, ""fraction"": 0.03948655592024063}, {""value"": ""3.0"", ""count"": 684, ""fraction"": 0.006253485586812825}, {""value"": ""4.0"", ""count"": 88, ""fraction"": 0.0008045420053209482}, {""value"": ""5.0"", ""count"": 6, ""fraction"": 5.485513672642829e-05}, {""value"": ""8.0"", ""count"": 3, ""fraction"": 2.7427568363214145e-05}, {""value"": ""6.0"", ""count"": 3, ""fraction"": 2.7427568363214145e-05}]",0.0,18.0,
18,NUMWOMEN,Number of Adult women in Household,Number of Adult Women in Household,count,"The variable records a number, duration, or frequency",administrative,0.28,[10],"[{""code"": ""BLANK"", ""label"": ""Missing""}]",Missing,contemporaneous,none,,include,,0.4252060889572889,0.42161658087932785,0.0035895080779610455,12,"[{""value"": ""1"", ""count"": 147010, ""fraction"": 0.4480168223444619}, {""value"": ""<MISSING>"", ""count"": 139525, ""fraction"": 0.4252060889572889}, {""value"": ""0"", ""count"": 23103, ""fraction"": 0.07040699712008777}, {""value"": ""2"", ""count"": 15890, ""fraction"": 0.04842519085132643}, {""value"": ""3"", ""count"": 2241, ""fraction"": 0.006829506148384049}, {""value"": ""4"", ""count"": 297, ""fraction"": 0.0009051152726774042}, {""value"": ""5"", ""count"": 45, ""fraction"": 0.00013713867767839458}, {""value"": ""6"", ""count"": 16, ""fraction"": 4.8760418730095845e-05}, {""value"": ""8"", ""count"": 3, ""fraction"": 9.14257851189297e-06}, {""value"": ""7"", ""count"": 2, ""fraction"": 6.095052341261981e-06}]","[{""value"": ""1.0"", ""count"": 49341, ""fraction"": 0.45110121686978305}, {""value"": ""<MISSING>"", ""count"": 46116, ""fraction"": 0.42161658087932785}, {""value"": ""0.0"", ""count"": 7721, ""fraction"": 0.07058941844412547}, {""value"": ""2.0"", ""count"": 5368, ""fraction"": 0.04907706232457784}, {""value"": ""3.0"", ""count"": 717, ""fraction"": 0.006555188838808181}, {""value"": ""4.0"", ""count"": 101, ""fraction"": 0.0009233948015615429}, {""value"": ""5.0"", ""count"": 10, ""fraction"": 9.142522787738048e-05}, {""value"": ""8.0"", ""count"": 2, ""fraction"": 1.8285045575476097e-05}, {""value"": ""6.0"", ""count"": 2, ""fraction"": 1.8285045575476097e-05}, {""value"": ""7.0"", ""count"": 1, ""fraction"": 9.142522787738048e-06}]",0.0,10.0,
19,CTELNUM1,Correct Phone Number?,Is this (phone number) ?,categorical,A small set of documented response categories,administrative,0.29,[10],"[{""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.5751291389214805,0.5786851223726676,0.003555983451187017,2,"[{""value"": ""<MISSING>"", ""count"": 188720, ""fraction"": 0.5751291389214805}, {""value"": ""1"", ""count"": 139415, ""fraction"": 0.4248708610785195}]","[{""value"": ""<MISSING>"", ""count"": 63296, ""fraction"": 0.5786851223726676}, {""value"": ""1.0"", ""count"": 46083, ""fraction"": 0.4213148776273325}]",1.0,1.0,
20,CELLFON2,Is this a cellular telephone?,Is this a cellular telephone?,binary,Two documented substantive responses,administrative,0.30,[10],"[{""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.5751291389214805,0.5786851223726676,0.003555983451187017,2,"[{""value"": ""<MISSING>"", ""count"": 188720, ""fraction"": 0.5751291389214805}, {""value"": ""1"", ""count"": 139415, ""fraction"": 0.4248708610785195}]","[{""value"": ""<MISSING>"", ""count"": 63296, ""fraction"": 0.5786851223726676}, {""value"": ""1.0"", ""count"": 46082, ""fraction"": 0.4213057351045447}, {""value"": ""2.0"", ""count"": 1, ""fraction"": 9.142522787738048e-06}]",1.0,1.0,CTELNUM1
21,CADULT,Are you 18 years of age or older?,Are you 18 years of age or older?,binary,Two documented substantive responses,administrative,0.31,[11],"[{""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.5751321864476511,0.5786851223726676,0.003552935925016487,3,"[{""value"": ""<MISSING>"", ""count"": 188721, ""fraction"": 0.5751321864476511}, {""value"": ""2"", ""count"": 70338, ""fraction"": 0.2143568957898426}, {""value"": ""1"", ""count"": 69076, ""fraction"": 0.21051091776250627}]","[{""value"": ""<MISSING>"", ""count"": 63296, ""fraction"": 0.5786851223726676}, {""value"": ""2.0"", ""count"": 23264, ""fraction"": 0.21269165013393795}, {""value"": ""1.0"", ""count"": 22819, ""fraction"": 0.20862322749339451}]",1.0,2.0,
22,PVTRESD2,Do you live in a private residence?,"Do you live in a private residence, that is, not in a dormitory or other type of group living situation?",binary,Two documented substantive responses,administrative,0.32,[11],"[{""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.5751291389214805,0.5786851223726676,0.003555983451187017,3,"[{""value"": ""<MISSING>"", ""count"": 188720, ""fraction"": 0.5751291389214805}, {""value"": ""1"", ""count"": 138613, ""fraction"": 0.4224267450896735}, {""value"": ""2"", ""count"": 802, ""fraction"": 0.0024441159888460543}]","[{""value"": ""<MISSING>"", ""count"": 63296, ""fraction"": 0.5786851223726676}, {""value"": ""1.0"", ""count"": 45821, ""fraction"": 0.4189195366569451}, {""value"": ""2.0"", ""count"": 262, ""fraction"": 0.0023953409703873687}]",1.0,2.0,
23,CCLGHOUS,Do you live in college housing?,Do you live in college housing?,categorical,A small set of documented response categories,administrative,0.33,[11],"[{""code"": ""BLANK"", ""label"": ""Missing""}]",Missing,contemporaneous,none,,include,,0.9975589315373246,0.9976046590296126,4.572749228803907e-05,2,"[{""value"": ""<MISSING>"", ""count"": 327334, ""fraction"": 0.9975589315373246}, {""value"": ""1"", ""count"": 801, ""fraction"": 0.0024410684626754234}]","[{""value"": ""<MISSING>"", ""count"": 109117, ""fraction"": 0.9976046590296126}, {""value"": ""1.0"", ""count"": 262, ""fraction"": 0.0023953409703873687}]",1.0,1.0,
24,CSTATE,Are you a resident of [STATE]?,Are you a resident of [STATE]?,binary,Two documented substantive responses,administrative,0.34,[12],"[{""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.5751260913953099,0.5786851223726676,0.003559030977357658,3,"[{""value"": ""<MISSING>"", ""count"": 188719, ""fraction"": 0.5751260913953099}, {""value"": ""1"", ""count"": 130086, ""fraction"": 0.396440489432703}, {""value"": ""2"", ""count"": 9330, ""fraction"": 0.028433419171987138}]","[{""value"": ""<MISSING>"", ""count"": 63296, ""fraction"": 0.5786851223726676}, {""value"": ""1.0"", ""count"": 43053, ""fraction"": 0.3936130335804862}, {""value"": ""2.0"", ""count"": 3030, ""fraction"": 0.027701844046846287}]",1.0,2.0,
25,LANDLINE,Do you also have a landline telephone?,Do you also have a landline telephone in your home that is used to make and receive calls?,binary,Two documented substantive responses,administrative,0.36,[12],"[{""code"": ""7"", ""label"": ""Don’t know/Not sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.5768570862602282,0.5802576362921584,0.003400550031930183,5,"[{""value"": ""<MISSING>"", ""count"": 189287, ""fraction"": 0.5768570862602282}, {""value"": ""2"", ""count"": 86133, ""fraction"": 0.2624925716549591}, {""value"": ""1"", ""count"": 52476, ""fraction"": 0.15992198333003185}, {""value"": ""9"", ""count"": 122, ""fraction"": 0.0003717981928169808}, {""value"": ""7"", ""count"": 117, ""fraction"": 0.00035656056196382586}]","[{""value"": ""<MISSING>"", ""count"": 63468, ""fraction"": 0.5802576362921584}, {""value"": ""2.0"", ""count"": 28429, ""fraction"": 0.25991278033260495}, {""value"": ""1.0"", ""count"": 17393, ""fraction"": 0.15901589884712788}, {""value"": ""7.0"", ""count"": 52, ""fraction"": 0.0004754111849623785}, {""value"": ""9.0"", ""count"": 37, ""fraction"": 0.0003382733431463078}]",1.0,9.0,
26,HHADULT,Number of Adults in Household,"How many members of your household, including yourself, are 18 years of age or older?",count,"The variable records a number, duration, or frequency",administrative,0.37,[12],"[{""code"": ""77"", ""label"": ""Don’t know/Not sure""}, {""code"": ""99"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.5867828789979734,0.5908081075892082,0.004025228591234775,26,"[{""value"": ""<MISSING>"", ""count"": 192544, ""fraction"": 0.5867828789979734}, {""value"": ""2"", ""count"": 68922, ""fraction"": 0.2100415987322291}, {""value"": ""1"", ""count"": 33347, ""fraction"": 0.10162585521203163}, {""value"": ""3"", ""count"": 19513, ""fraction"": 0.05946637816752252}, {""value"": ""4"", ""count"": 9094, ""fraction"": 0.027714202995718227}, {""value"": ""5"", ""count"": 2850, ""fraction"": 0.008685449586298322}, {""value"": ""6"", ""count"": 893, ""fraction"": 0.002721440870373474}, {""value"": ""99"", ""count"": 307, ""fraction"": 0.0009355905343837141}, {""value"": ""7"", ""count"": 254, ""fraction"": 0.0007740716473402715}, {""value"": ""8"", ""count"": 126, ""fraction"": 0.0003839882974995048}]","[{""value"": ""<MISSING>"", ""count"": 64622, ""fraction"": 0.5908081075892082}, {""value"": ""2.0"", ""count"": 22693, ""fraction"": 0.20747126962213952}, {""value"": ""1.0"", ""count"": 11026, ""fraction"": 0.10080545625759972}, {""value"": ""3.0"", ""count"": 6513, ""fraction"": 0.05954525091653791}, {""value"": ""4.0"", ""count"": 3026, ""fraction"": 0.027665273955695336}, {""value"": ""5.0"", ""count"": 947, ""fraction"": 0.008657969079987933}, {""value"": ""6.0"", ""count"": 273, ""fraction"": 0.002495908721052487}, {""value"": ""99.0"", ""count"": 87, ""fraction"": 0.0007953994825332102}, {""value"": ""7.0"", ""count"": 80, ""fraction"": 0.0007314018230190439}, {""value"": ""8.0"", ""count"": 29, ""fraction"": 0.0002651331608444034}]",1.0,99.0,
